_id,type,properties.name,geometry.coordinates[0][0][0],geometry.coordinates[0][0][1],geometry.coordinates[0][1][0],geometry.coordinates[0][1][1],geometry.coordinates[0][2][0],geometry.coordinates[0][2][1],geometry.coordinates[0][3][0],geometry.coordinates[0][3][1],geometry.coordinates[0][4][0],geometry.coordinates[0][4][1],geometry.coordinates[0][5][0],geometry.coordinates[0][5][1],geometry.coordinates[0][6][0],geometry.coordinates[0][6][1],geometry.coordinates[0][7][0],geometry.coordinates[0][7][1],geometry.coordinates[0][8][0],geometry.coordinates[0][8][1],geometry.coordinates[0][9][0],geometry.coordinates[0][9][1],geometry.coordinates[0][10][0],geometry.coordinates[0][10][1],geometry.coordinates[0][11][0],geometry.coordinates[0][11][1],geometry.type,id,properties.Newark
687c3bd0094b01ccb1b4e888,Feature,Miami,-80.31256408667055,25.92973837296563,-80.46615598110478,25.94002419635568,-80.46615598110478,25.622220586061886,-80.28151891651895,25.634006252938462,-80.0870781139902,25.689972279336914,-80.08054228869504,25.942962838084583,-80.19982110033037,25.93267727128128,-80.31256408667055,25.92973837296563,,,,,,,,,Polygon,,
687c3bd0094b01ccb1b4e889,Feature,Fort Lauderdale,-80.45471828683864,25.94002419635568,-80.30276034872806,25.93120783128596,-80.11485537149396,25.942962838084583,-80.07564041972356,26.255507267890522,-80.46942389375259,26.27748590898385,-80.46778993742893,26.14848521378991,-80.45471828683864,25.94002419635568,,,,,,,,,,,Polygon,,
687c3bd0094b01ccb1b4e88a,Feature,St. Petersburg,-82.70680590675443,27.921416298317396,-82.77959188564827,27.806013954739683,-82.80094999173278,27.770318318073095,-82.76613994218897,27.561513850203156,-82.58496945706396,27.75071609868941,-82.58655173204315,27.875270044085795,-82.63481111891048,27.90743489883124,-82.70680590675443,27.921416298317396,,,,,,,,,Polygon,,
687c3bd0094b01ccb1b4e88b,Feature,Clearwater,-82.80094999173278,27.76821824913641,-82.70364008050828,27.926309817771454,-82.68070904005236,28.02132626530529,-82.84288039291276,28.090452223245762,-82.8571210106339,27.857785151422405,-82.82705764312347,27.815110151036933,-82.80094999173278,27.76821824913641,,,,,,,,,,,Polygon,,
687c3bd0094b01ccb1b4e88c,Feature,Tampa,-82.55847359375726,28.1075709085532,-82.61740229652233,27.997565705178104,-82.61935033628008,27.99154534149271,-82.5292535029089,27.93218378487647,-82.55652605408955,27.852984267495458,-82.4795784836545,27.82025452841681,-82.38997681797149,27.877100639200734,-82.32425655093884,28.079655283110853,-82.55847359375726,28.1075709085532,,,,,,,Polygon,4,
687c3bd0094b01ccb1b4e88d,Feature,Orlando,-81.61639084705095,28.498440077649164,-81.50206823357162,28.404835007587778,-81.44534516217983,28.359536847679507,-81.27603481309049,28.379497531034474,-81.2053568648641,28.454716966519328,-81.1538077969561,28.582015048674933,-81.24104492591412,28.70688682567713,-81.46277254883263,28.706864095019057,-81.56402893766186,28.68233866202867,-81.61289481435526,28.54444772477801,-81.61639084705095,28.498440077649164,,,Polygon,5,
687c3bd0094b01ccb1b4e88e,Feature,Disney,-81.62424978232404,28.423961323256947,-81.62266534431934,28.33523038596526,-81.5672323181584,28.32267711370254,-81.50438971719869,28.371475082902833,-81.5571970015166,28.42582382235588,-81.62424978232404,28.423961323256947,,,,,,,,,,,,,Polygon,,
687c3bd0094b01ccb1b4e88f,Feature,Jacksonville,-81.72356879171774,30.520061809886485,-81.96814642696569,30.32781396801937,-81.82709777593479,30.063710319518734,-81.60584134746728,30.04202233777289,-81.33030903113652,30.13954934288823,-81.41129883320946,30.529411814859273,-81.72356879171774,30.520061809886485,,,,,,,,,,,Polygon,,
687c3bd0094b01ccb1b4e890,Feature,New York City,-73.93727216988887,40.86510508579386,-74.01111023672783,40.75139655092667,-74.0168811591501,40.69787249064541,-73.97451686276028,40.714425980194676,-73.93022147678244,40.793205842864666,-73.93407411349006,40.820416340583705,-73.93727216988887,40.86510508579386,,,,,,,,,,,Polygon,,
687c3bd0094b01ccb1b4e891,Feature,Brooklyn,-73.98865977782008,40.70498721742348,-74.02126233844479,40.67441441771473,-74.04261228677811,40.61096717202139,-74.01711110904922,40.56457995455011,-73.87181808020203,40.58124679553876,-73.85581851197549,40.65012313074391,-73.9276141742219,40.69374397285404,-73.94006747024332,40.69733940818659,-73.98865977782008,40.70498721742348,,,,,,,Polygon,,
